Iterations,Score_RHC,Time_RHC,Score_SA,Time_SA,Score_GA,Time_GA,Score_MIMIC,Time_MIMIC
10,0,0.0029013813333333333,0,2.289066666666667E-4,0,0.027287540333333336,0,0.396590382
Iterations,Score_RHC,Time_RHC,Score_SA,Time_SA,Score_GA,Time_GA,Score_MIMIC,Time_MIMIC
10,0,0.003347082666666667,0,3.657686666666666E-4,0,0.025453242,0,0.3336004736666667
Iterations,Score_RHC,Time_RHC,Score_SA,Time_SA,Score_GA,Time_GA,Score_MIMIC,Time_MIMIC
10,0,0.0029166496666666666,0,4.7399433333333336E-4,0,0.024127327333333337,0,0.33409114933333334
100,0,1.4075633333333334E-4,0,9.920433333333334E-5,0,0.04960618133333333,0,1.7856570006666665
1000,0,5.80569E-4,0,7.507319999999999E-4,0,0.4118775713333333,0,17.573632621
2500,0,0.0014877306666666668,0,0.004832447666666667,0,1.4122511703333334,0,57.729675022
5000,0,0.0025253380000000002,0,0.004302566,0,2.550256091666667,0,122.67487231766665
8000,0,0.004393215333333333,0,0.006797764333333334,0,3.790291077333334,0,170.44388808899998
10000,0,0.006039548,0,0.010807177333333334,0,6.766749511,0,295.51705842433336
15000,0,0.011531977,0,0.016868501999999997,0,12.667056804666666,0,516.525272309
30000,0,0.014549544999999999,0,0.037979243999999995,0,15.735445506,0,618.20259187
